FILENAME,REF_TXT,ASR_QuartzNet15x5Base-En,WER_QuartzNet15x5Base-En
p232_001.wav,please call stella,please call stella,0.0
p232_002.wav,ask her to bring these things with her from the store,ask her to bring these things with her from the store,0.0
p232_003.wav,six spoons of fresh snow bees five thick slabs of blue cheese and maybe a snack wer her brother bob,six spoons of fresh snow bees five thick slabs of blue cheese and maybe a snack were her brother bob,0.05
p232_005.wav,she can scoop these things into three red bags and we will go meet till wednesday at the train station,she can scoop these things into three red bags and we will go meet till wednesday at the train station,0.0
p232_006.wav,when the sunlight strikes raindrops in the air they act as a prism and form a rainbow,when the sunlight strikes raindrops in the air he act as a prism and form a rainbow,0.0588
p232_007.wav,the rainbow is a division of white light into many beautiful colours,the rainbow is a division of white light into many beautiful colours,0.0
p232_009.wav,there is according to legend a boiling pot of gold at one end,there is according to legend a boiling pot of gold at one end,0.0
p232_010.wav,people look but no one ever finds it,people look but no one ever finds,0.125
p232_011.wav,when a man looks for something beyond his reach his friends say he is looking for the pot of gold at the end of the rainbow,when a man looks for something beyond his reach his friends say he is looking for the pot of gold at the end of the rainbow,0.0
p232_012.wav,throughout the centuries people have explained the rainbow in various ways,throughout the centuries people have explained the rainbow in various ways,0.0
p232_013.wav,some have accepted it as a miracle without physical explanation,some have accepted it as a miracle without physical explanation,0.0
p232_014.wav,to the hebrews it was a token that there would be no more universal floods,to the hebrews it was a token that there would be no more universal floods,0.0
p232_015.wav,the greeks used to imagine that it was a sign from the gods to foretel war or heavy rain,the greeks used to imagine that it was a sign from the gods to foretel war or heavy rain,0.0
p232_016.wav,the norsemen considered the rainbow as a bridge over which the gods passed from earth to the home in the sky,the norsemen considered the rainbow as a bridge over which the gods passed from earth to the home in the sky,0.0
p232_017.wav,others have tried to explain their phenomenon physically,others have tried to explain the r phenomenon physically,0.25
p232_019.wav,since then physicists have found that it is not reflection but refraction by the raindrops which causes the rainbow,since then physicists have found that it is not reflection but refraction by the rain drops which causes the rainbow,0.1053
p232_020.wav,many complicated ideas about the rainbow have been formed,many complicated ideas about the rainbow have been formed,0.0
p232_021.wav,the difference in the rainbow depends considerably upon the size of the drops and the width of the coloured band increases as the size of the drops increases,the difference in the rainbow depends considerably upon the size of the drops and the width of the coloured band increases as the size of the drops increases,0.0
p232_022.wav,the actual primary rainbow observed is said to be the effect of superamposition of a number of bows,the actual primary rainbow observed is said to be the effect of supermposition of a number of bows,0.0556
p232_023.wav,if the red of the second bow falls upon the grain of the fust the result is to give a bow with an abnormally wide yellow band since red and green light when mixed from yellow,if the red of the second foe falls upon the grain of the fust the result is to give a bow with an abnormally wide yellow ban is red and green light when mixed from yellow,0.0833
p232_024.wav,this is a very common type of bow one showing mainly red and yellow with little or no green or blue,this is a very common type of bow one showing mainly red and yellow with little or no green or blue,0.0
p232_025.wav,johnson was pretty low,johnson was pretty low,0.0
p232_027.wav,several other countries are also reported to be interested in the format,several other countries are also reported to be interested in the format,0.0
p232_028.wav,they should be so lucky,they should be so lucky,0.0
p232_029.wav,their courage and their honesty should be respected,their courage and their honesty should be respected,0.0
p232_030.wav,they were described us being in a serious but stable condition yesterday,they were described us being in a serious but stable condition yesterday,0.0
p232_031.wav,it's a matter of balance,it's a matter of balance,0.0
p232_032.wav,they did not replace it with a conviction for culpable homicide,they did not replace it with a conviction for colparble mamoside,0.1818
p232_033.wav,i would love it,i would love it,0.0
p232_034.wav,it is marvelous,it is marvelous,0.0
p232_035.wav,other members of the family were too upset to com ent last night,other members of the family were too upset to commet last night,0.1538
p232_036.wav,but it may take some time to confirm the findings,but it may take some time to confirm the findings,0.0
p232_037.wav,two other men including the taxi driver were wounded in the attack,two other men including the taxi driver were wounded in the attack,0.0
p232_038.wav,it was fit for royalty,it was fit for royalty,0.0
p232_039.wav,i was scared,i was scared,0.0
p232_040.wav,dancing was her life,dancing was her life,0.0
p232_041.wav,i suspect the latter,i suspect the latter,0.0
p232_042.wav,you must always attempt to raise the bar,you must always attempt to raise the bar,0.0
p232_043.wav,but it took a lot of bottle,but it took a lot of bottle,0.0
p232_044.wav,we will push,we will push,0.0
p232_045.wav,it is urgent,it is urgent,0.0
p232_046.wav,the judge said,the judge said,0.0
p232_047.wav,it is difficult for ali,it is difficult for ali,0.0
p232_048.wav,but it might have done,but it might have done,0.0
p232_049.wav,the whole of southern africa is in the grip of aids,the whole of southern africa is in the grip of aids,0.0
p232_050.wav,they had to explain it,they had to explain it,0.0
p232_051.wav,here's a clue,hereis a cluw,0.75
p232_052.wav,we were surprised to see the photograph,it was surprised to see the photograph,0.2857
p232_053.wav,it's the big amission,it's the big amission,0.0
p232_054.wav,several other pupils and staff were seriously indured in the accident,several other pupils and staff were seriously indured in the accident,0.0
p232_055.wav,it's very odd,it's very odd,0.0
p232_056.wav,because we do not need it,because we do not need it,0.0
p232_057.wav,it's not pretty but it's effective,it's not pretty but it's effective,0.0
p232_058.wav,this obsession wasn't just contained within the world of the losers,this obsession wasn't just contained within the world of the losers,0.0
p232_059.wav,that's the truth,that's the truth,0.0
p232_060.wav,that is very hard alone,that is very hard alone,0.0
p232_061.wav,the story was first reported in the spectator magazine,the story was first reported in the spectator magazine,0.0
p232_062.wav,the problems are a result of that short fall,the problems are a result of that short fall,0.0
p232_063.wav,you did not change overnight,he did not change overnight,0.2
p232_064.wav,people love to see this stuff,people love to see this stuff,0.0
p232_065.wav,he was popular,he was popular,0.0
p232_066.wav,i am pleased with the result as it was a possible upset,i am pleased with the result as it was a possible upset,0.0
p232_067.wav,gharles kennedy had an effective outing,garles kennedy had an effective outing,0.1667
p232_068.wav,it is like a river running by my home,it is like a river running by my home,0.0
p232_069.wav,we welcome the decision of mister buyers,we welcome the decision of mister byers,0.1429
p232_070.wav,there is an element of racism in scotland,there is an element of races in scotland,0.125
p232_071.wav,painful but only because it's true,ainbull but only because it's true,0.1429
p232_072.wav,that was the easy election,that was the easy election,0.0
p232_073.wav,there could be a way back,there could be a way back,0.0
p232_074.wav,then followed about a flue,then followed about a flue,0.0
p232_075.wav,the presscuts are really exciting,the press coats are really exciting,0.4
p232_076.wav,i had my suspicions,i had my suspicions,0.0
p232_077.wav,it was chaotic,it was chaotic,0.0
p232_078.wav,it is a job creation scheme,it is a job creation scheme,0.0
p232_079.wav,he is now resident in england,he is now resident in england,0.0
p232_080.wav,i've got the shirt,i've got the shirt,0.0
p232_081.wav,today she has been released,to day she has been released,0.4
p232_082.wav,what is changed,what is changed,0.0
p232_083.wav,that is bound to happen,that is bound to happen,0.0
p232_084.wav,i will miss him,i will miss it,0.25
p232_085.wav,it's all going to clear the debt,it's all going to clear the debt,0.0
p232_086.wav,she had kept the news from him,she had kept the news from him,0.0
p232_087.wav,no progress has been made,no progress has been made,0.0
p232_088.wav,others were in hiding in fear of their lives,others were in hiding in fear of their lives,0.0
p232_089.wav,now the system is right behind us,now the system is right behind us,0.0
p232_090.wav,downing street will make the second appointment in the scotland office today,downing street will make the second appointment in the scotland office today,0.0
p232_091.wav,it is a lifeline,it is a lifeline,0.0
p232_092.wav,to day i couldn't run on it,to day i couldn't run on it,0.0
p232_093.wav,however it did not end that way,however it did not end that way,0.0
p232_094.wav,this time it will have opened up the field a little bit,this time it will have opened up the field a little bit,0.0
p232_095.wav,i have every confidence in raymond robertson as chairman of the party,i have every confidence in raymond robertson as chairman of the party,0.0
p232_096.wav,then came the crunch,then came the crunch,0.0
p232_097.wav,the oil companies would be asked to contribute,the oil companies would be asked to contribute,0.0
p232_098.wav,i wish i'd put on a brighter tie,i wish i'd put on a brighter tie,0.0
p232_099.wav,they were under a lot of pressure from the other clubs,they were under a lot of pressure from the other clubs,0.0
p232_100.wav,it was mayhem,it was mayhem,0.0
p232_101.wav,they were outside the circle,they were outside the circle,0.0
p232_102.wav,it was a good performance,it was a good performance,0.0
p232_103.wav,we recognize the important role of golf in attracting visitors,we recognized the important role of golf in attracting visitors,0.1
p232_104.wav,there will be no repeat of that performance that i can guarantee,there will be no repeat of that performance that i can guarantee,0.0
p232_105.wav,that is no use,that is no use,0.0
p232_106.wav,it was really enjoyable on saturday,it was really enjoyable on saturday,0.0
p232_107.wav,while they went on holiday we got the contract,while they went on holiday we got the contract,0.0
p232_108.wav,he pleaded for caution,he pleaded for caution,0.0
p232_109.wav,he plans to call for an aid package for mister mcdonald,he plans to call for an aid package for mister mcdonald,0.0
p232_110.wav,i don't have many friends,i don't have many friends,0.0
p232_112.wav,you ad better believe it,you had better believe it,0.2
p232_113.wav,it's not fair,it's not there,0.25
p232_114.wav,we hape to look at everything before we make any final decision,we have to look at everything before we make any final decision,0.0833
p232_115.wav,among them was gary robinson from dundee,among them was gary robinson from dundee,0.0
p232_116.wav,maybe this battle has been,maybe this battle has been,0.0
p232_117.wav,mister chisholm said the move was made on the advice of consultants,mister chiholma said the move was made on the advice of consultants,0.0833
p232_118.wav,thereafter he set his mind on becoming a doctor,thereafter he set his mind on becoming a doctor,0.0
p232_119.wav,this is the end of a chapter and it is very sad,this is the end of a chapter and it is very sad,0.0
p232_120.wav,it is rubbish,it is rubbish,0.0
p232_121.wav,that was the lesson to be learned from the european championships,that was the lesson to be learned from the uropean championships,0.0909
p232_123.wav,an announcement on his replacement is expected within three weeks,an announcement on his replacement is expected within three weeks,0.0
p232_124.wav,that's all right then,that's all right then,0.0
p232_125.wav,i'm so angry,i'm so angry,0.0
p232_126.wav,child abuse is a dreadful thing,child abuse is a dreadful thing,0.0
p232_127.wav,it has removed a bit of guilt,it has removed a bit of guilt,0.0
p232_128.wav,despite the result it was still a great moment,despite the result it was still a great moment,0.0
p232_129.wav,the task cross continues to be in discussion with both companies,the task cross continues to be in discussion with both companies,0.0
p232_130.wav,offeth the gold medal he declined,up it the gold metal he declined,0.5
p232_131.wav,that first victory made a huge difference to my career,that first victory made a huge difference to my career,0.0
p232_132.wav,i am now unemployed,i am now unemployed,0.0
p232_133.wav,if not a deal could take many months,if not a deal could take many months,0.0
p232_134.wav,you got to be vigilant,you've got to be vigilart,0.4
p232_135.wav,our intentions are real,our intentions are real,0.0
p232_136.wav,they took a risk,they took a risk,0.0
p232_137.wav,the goals were good,the goals were good,0.0
p232_138.wav,what will happen then,what will happen then,0.0
p232_139.wav,i am totally devoted to this job,i am totally devoted to this job,0.0
p232_140.wav,he is severe,he is severe,0.0
p232_141.wav,she died at her home,she died at her home,0.0
p232_142.wav,i do not want to have a fight with mister haytings,i do not want to have a fight with mister hastings,0.0909
p232_143.wav,they did very well,they did very well,0.0
p232_144.wav,the homeside didn't stand a chance,the homeside didn't stand a chance,0.0
p232_145.wav,we want to see the maximum change,we want to see the maximum change,0.0
p232_146.wav,it was deployed in the gulf war,it was deployed in the gulf war,0.0
p232_147.wav,crucially though united was still alive,crucially though united was still alive,0.0
p232_148.wav,the departure of mister johnston was reported by the herald yesterday,the departure of mister johnston was reported by the herald yesterday,0.0
p232_150.wav,she had gone to the catholic school,she had gone to the catholic school,0.0
p232_151.wav,it's a problem but it cannot become an excuse,it's a problem but it cannot become an excuse,0.0
p232_152.wav,it was by the numbers,it was by the numbers,0.0
p232_153.wav,i was in daily contact,i was in daily contact,0.0
p232_154.wav,they were later discharged from hospital,he was lated discharged from hospital,0.5
p232_155.wav,this latter point is hugely important,this latter point is suly aborte,0.3333
p232_156.wav,it is an attitude of mind,it is an attitude of mind,0.0
p232_158.wav,they say that vital evidence was not heard in court,they saiy that vital evidence was not heard in course,0.2
p232_159.wav,we have to move forward,we have to move forward,0.0
p232_160.wav,local managers are already involved in talks with potential investors,local managers are already involved in talks with potential investors,0.0
p232_161.wav,we do not comment on the behavior of our authors,we do not comment on the behavior of our authors,0.0
p232_162.wav,kellit like it was,kel it like it was,0.5
p232_163.wav,it is not too late to get on board,it is not too late to get on board,0.0
p232_164.wav,that must be left to the varoal board,that must be left to the pareoal board,0.125
p232_165.wav,again we were lucky,again we were lucky,0.0
p232_167.wav,waiting times for these services are too long,waiting times for these services are too long,0.0
p232_169.wav,it's too early to say whether a public enquiry would be appropriate,its too early to say whether a public inquiry would be appropriate,0.2308
p232_170.wav,we've made a couple of albums,we've made a couple of albuis,0.1429
p232_171.wav,my life has been destroyed,my life has been destroyed,0.0
p232_172.wav,they thought they had found a home,they thought they had found a home,0.0
p232_173.wav,it became a book by itself,it became a book by itself,0.0
p232_174.wav,i always felt they played for me,i always felt they played for me,0.0
p232_175.wav,you've got to get people from all sorts of different directions,you've got to get people from all sorts of different directions,0.0
p232_176.wav,first and foremost the game is entirely different,first and foremost the game is entirely different,0.0
p232_177.wav,blair's response was weak,lars response was weak,0.4
p232_178.wav,it's the real thing for sure,it's the real thing for shur,0.1429
p232_179.wav,however the figures were disputed by the scottish prison service,however the pickers were disputed by the scottish prison service,0.1
p232_180.wav,the event was held in the council's headquarters in hamilton,the event was held in the council's headquarters in hamilton,0.0
p232_181.wav,the clarity is vital,the clarity is vital,0.0
p232_182.wav,i've been in two finals and i've got a medal,i've been in du finals and i've got a medal,0.0833
p232_183.wav,everyone can be bought,everyone can be bought,0.0
p232_184.wav,a career is the doctor is unhold,a career is the doctor is unhuled,0.1429
p232_185.wav,mister dockety said the whole family was shocked,mister dockety said the whole family was shocked,0.0
p232_186.wav,it is the whole package,it is the whole package,0.0
p232_187.wav,i've been there,i've been there,0.0
p232_188.wav,family lears on officers are now working to support the family,family liyears on officers are now working to support the family,0.0909
p232_189.wav,they receive a high profile in the media,they receive a high profile in the media,0.0
p232_190.wav,we did everything by the book,we did everything by the book,0.0
p232_191.wav,i wish i could say something,i wish i could say something,0.0
p232_193.wav,the procedure is the same in all cases,the procedure is the same in all cases,0.0
p232_194.wav,but a final decision will not be taken until after the elections,but a final decision will not be taken until after the elections,0.0
p232_195.wav,i wanted to put myself on the line,i wanted to put myself on the line,0.0
p232_196.wav,i came home by ambulance,i came home by ambulance,0.0
p232_197.wav,the modern approach will also be reflected in th terms of dress,the modern approach will also be reflected in terms of dress,0.0833
p232_198.wav,the conference is the bist test,the conference is the best task,0.3333
p232_199.wav,the suppers from the other players was super,e seffers from the other plan wit supan,0.625
p232_200.wav,he is not written as a terrible exciting person in the book,he is not written as a terrible exciting person in the book,0.0
p232_201.wav,on the outside of an airport it is very difficult,on the outside of an airport it is very difficult,0.0
p232_202.wav,the sisters also became the top two players in the world,the sisters also became the top to layers in the world,0.1818
p232_203.wav,he deadline is still essential,the deadline is still essentual,0.4
p232_204.wav,we see the rapid reaction force as the way ahad,we see the rapid reaction force as the way ahad,0.0
p232_205.wav,it's a mixture of everything,it's a mixture of everything,0.0
p232_206.wav,we're not seeing an image of the person he said,we're not seeing an image of the person he said,0.0
p232_207.wav,i don't want to use it,i don't want to use it,0.0
p232_208.wav,now it's all right,now its all right,0.4
p232_209.wav,there was an email,there was an email,0.0
p232_210.wav,that's the day job,that's the day job,0.0
p232_211.wav,fee of the hat,you have ar heat,1.0
p232_213.wav,he is slightly confused,he is slightly confused,0.0
p232_214.wav,she should not be blamed,she should not be blamed,0.0
p232_215.wav,his third goal was superb,his third goal was superb,0.0
p232_216.wav,he would discuss the peace process in northern ireland,he would discuss the peace process in northern ireland,0.0
p232_217.wav,it's not ideal,it's not ideal,0.0
p232_218.wav,he seemed to lose his focus,it seemed to lose his focus,0.1667
p232_219.wav,he said that healthy eating was high on the counsil agenda,he said that healthy eating was high on the council agenda,0.0909
p232_220.wav,the council has proposed a temporary barrier to protect the monument,the council has proposed a temporary barrier to protect the monument,0.0
p232_221.wav,friends of the earth's scotland last night welcomed the announcement,friends of the earths scotland last night welcomed the announcement,0.1818
p232_223.wav,it was a miserable afternoon in fife,it was a miserable afternoon in fife,0.0
p232_224.wav,that has been the easy part,that has been the easy part,0.0
p232_225.wav,we've got the bronze,we've got the bronxe,0.2
p232_226.wav,mental health is a massive issue,mental health is a massive issue,0.0
p232_227.wav,at the top of the structure will remain the post of head tiache,at the top of the structure will remain the post of head tiache,0.0
p232_228.wav,it was good fun,it was good fun,0.0
p232_229.wav,what was the main difference,what was the main difference,0.0
p232_230.wav,i am immensely sad,i am immensely sad,0.0
p232_231.wav,iad never seen a play about me,iad never seen a play about me,0.0
p232_232.wav,it is perfectly evident that the time for an inquiry will come,it is perfectly evident that the time for an inquiry will come,0.0
p232_234.wav,but she was,but she was,0.0
p232_235.wav,her condition was yesterday described as critical but stable,her condition was yesterday described as critical but stable,0.0
p232_236.wav,we were awful,we were awful,0.0
p232_237.wav,however no further action was taken by police,however no further action was taken by police,0.0
p232_238.wav,and thought we would get away with it,and thought we would get away with it,0.0
p232_239.wav,it is set in paris,it is set in paris,0.0
p232_240.wav,thes tenry is expected to be in hospital for several days,thes senry is expected to be in hospital for several days,0.0909
p232_241.wav,it's quite nice,it's quite nice,0.0
p232_242.wav,it's quite a line up,it's quit a line up,0.1667
p232_243.wav,it's a lovely lovely film,it's a lovely lovely film,0.0
p232_244.wav,the home office would not release any further details about the group,the home office would not release any further details about the group,0.0
p232_245.wav,broke the birdie record,wrote the birdie record,0.25
p232_246.wav,he claimed the government had lost the plot,he claimed the government had lost the plot,0.0
p232_247.wav,she is well balanced,she is well balanced,0.0
p232_248.wav,a change in that position would require a decision by the council,a change in that position would require a decision by the council,0.0
p232_249.wav,jock rown was appointed as general manager,jock rown was appointed as general manager,0.0
p232_250.wav,he says that he is no different from any other man,he says that he is no different from any other man,0.0
p232_251.wav,manager bobby williamson has no injury worries,manager bobby williamson has no injury worries,0.0
p232_252.wav,we did not compete with any other local farmer,we did not compete with any other local farmer,0.0
p232_253.wav,i was certainly wrong with my prediction of the result,i was certainly wrong with my prediction at the result,0.1
p232_254.wav,some families have even requested to leave the city,some families have even requested to leave the city,0.0
p232_255.wav,it's a record label not a form of music,it's a record label not a form of music,0.0
p232_256.wav,a friendship that will endure,a friendship that will endure,0.0
p232_257.wav,i can't get a job,i can't get a job,0.0
p232_258.wav,he said he intended to push for a judicial review,he said he intended to push for a judicial review,0.0
p232_259.wav,for the scottish judges the affair is very delicate and unique,for the scottish judges the affair is very delicate and unique,0.0
p232_260.wav,the bottom line is that we had to get o win,the bottom line is that we had to get a win,0.0909
p232_261.wav,when apece said he feared the job losses were only the beginning,when apece said he feared the job losses were only at the beginning,0.0833
p232_263.wav,however the force has not yet received a formal complaint,however the course is not yet received at almost of length,0.6
p232_264.wav,the work between h musicians and the fire is very important,the work between the musicians and the fire is very important,0.0909
p232_265.wav,blood amples were taken,bloodsamples were taken,0.5
p232_266.wav,they want to shut the scotish office,they want to shut the scottish office,0.1429
p232_267.wav,their review will look at management across the sector as a whole,there abe will look at management across the sector as a whole,0.1667
p232_268.wav,of course that is not the whole story,of course that is not the whole story,0.0
p232_269.wav,the government has until midnight tomorrow to make a decision,the government has until midnight tomorrow to make a decision,0.0
p232_270.wav,perhaps it's because i haven't finished the first two races,perhaps it's because i haven't finished the first two races,0.0
p232_271.wav,ron is an interesting man but he is not desperate,brahn is an interesting man but he is not desperate,0.1
p232_272.wav,he is a young man with a new deal,he is a young man with a new deal,0.0
p232_273.wav,he was also married with two children,he was also married with two children,0.0
p232_274.wav,similar measures are expected in england and wales,similar measures are expected in england and wales,0.0
p232_275.wav,lottery money was intended to be used for good causes,lottery money was intended to be used for good causes,0.0
p232_276.wav,everything will fall into place it should be fine,everything will fall into place it should be fine,0.0
p232_277.wav,she has every confidence in his performance of his duties,she has every confidence in his performance of his duties,0.0
p232_278.wav,they wanted the club to make money,they wanted the club to make money,0.0
p232_279.wav,finally he paid for the movie,finally swe baid for the moving,0.5
